"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "SCSS", "CSS", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\status.user.scss", "SCSS", 0, 0, 0, 33, 0, 0, 1, 34
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\verify.component.jsx", "JavaScript JSX", 219, 0, 0, 0, 0, 8, 20, 247
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\verify.component.scss", "SCSS", 0, 0, 0, 115, 0, 4, 13, 132
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\index.scss", "SCSS", 0, 0, 0, 51, 0, 5, 8, 64
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeLayout.jsx", "JavaScript JSX", 119, 0, 0, 0, 0, 4, 13, 136
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeLayout.scss", "SCSS", 0, 0, 0, 5, 0, 0, 1, 6
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeSubLayout.jsx", "JavaScript JSX", 165, 0, 0, 0, 0, 2, 17, 184
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeSubLayout.scss", "SCSS", 0, 0, 0, 44, 0, 0, 1, 45
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\outsideLayout.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 2, 12
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\main.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 4, 9, 33
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\mocks\users.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 19
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\auth\auth.loginPage.jsx", "JavaScript JSX", 45, 0, 0, 0, 0, 1, 7, 53
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\auth\auth.loginPage.scss", "SCSS", 0, 0, 0, 36, 0, 2, 4, 42
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\error.page.jsx", "JavaScript JSX", 30, 0, 0, 0, 0, 0, 4, 34
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.jsx", "JavaScript JSX", 1695, 0, 0, 0, 0, 42, 113, 1850
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.scss", "SCSS", 0, 0, 0, 731, 0, 8, 12, 751
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\emoijPopup.chat.jsx", "JavaScript JSX", 103, 0, 0, 0, 0, 0, 12, 115
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\emoijPopup.chat.scss", "SCSS", 0, 0, 0, 21, 0, 5, 1, 27
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\message.chat.jsx", "JavaScript JSX", 368, 0, 0, 0, 0, 5, 31, 404
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\message.chat.scss", "SCSS", 0, 0, 0, 257, 0, 1, 9, 267
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\content.main.jsx", "JavaScript JSX", 82, 0, 0, 0, 0, 0, 7, 89
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\group.friend.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 2, 17
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\group.friend.scss", "SCSS", 0, 0, 0, 4, 0, 0, 1, 5
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.jsx", "JavaScript JSX", 113, 0, 0, 0, 0, 0, 12, 125
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\invited.friend.scss", "SCSS", 0, 0, 0, 52, 0, 0, 2, 54
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.jsx", "JavaScript JSX", 126, 0, 0, 0, 0, 0, 14, 140
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\list.friend.scss", "SCSS", 0, 0, 0, 30, 0, 0, 3, 33
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.jsx", "JavaScript JSX", 68, 0, 0, 0, 0, 0, 7, 75
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.scss", "SCSS", 0, 0, 0, 28, 0, 0, 2, 30
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\main.welcome.jsx", "JavaScript JSX", 85, 0, 0, 0, 0, 3, 5, 93
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\main.welcome.scss", "SCSS", 0, 0, 0, 96, 0, 0, 1, 97
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\notFound.page.jsx", "JavaScript JSX", 22, 0, 0, 0, 0, 0, 5, 27
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\notFound.page.scss", "SCSS", 0, 0, 0, 8, 0, 0, 2, 10
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\chat.sidebar.jsx", "JavaScript JSX", 179, 0, 0, 0, 0, 18, 22, 219
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\chat.sidebar.scss", "SCSS", 0, 0, 0, 50, 0, 0, 1, 51
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\friend.sidebar.jsx", "JavaScript JSX", 62, 0, 0, 0, 0, 0, 10, 72
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.jsx", "JavaScript JSX", 65, 0, 0, 0, 0, 0, 9, 74
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.scss", "SCSS", 0, 0, 0, 54, 0, 1, 2, 57
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.sidebar.scss", "SCSS", 0, 0, 0, 8, 0, 0, 1, 9
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.sidebar.jsx", "JavaScript JSX", 38, 0, 0, 0, 0, 0, 7, 45
